"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","slugTeam","urlPlayerHeadshot"
2019,55,2,25,"Kyle Guy","Virginia","College/University",1629657,1610612752,"New York Knicks",1,"COL",NA,"NYK","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629657.png"
2019,56,2,26,"Jaylen Hands","California-Los Angeles","College/University",1628986,1610612746,"Los Angeles Clippers",0,"COL",NA,"LAC","RESOURCE/default_player.png"
2019,57,2,27,"Jordan Bone","Tennessee","College/University",1629648,1610612740,"New Orleans Pelicans",1,"COL",NA,"NOP","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629648.png"
2019,58,2,28,"Miye Oni","Yale","College/University",1629671,1610612744,"Golden State Warriors",1,"COL",NA,"GSW","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629671.png"
2019,59,2,29,"Dewan Hernandez","Miami (FL)","College/University",1629608,1610612761,"Toronto Raptors",1,"COL",NA,"TOR","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629608.png"
2019,60,2,30,"Vanja Marinkovic","KK Partizan","Other Team/Club",1629079,1610612758,"Sacramento Kings",0,"PRO","Serbia","SAC","RESOURCE/default_player.png"
2018,1,1,1,"Deandre Ayton","Arizona","College/University",1629028,1610612756,"Phoenix Suns",1,"COL",NA,"PHX","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png"
2018,2,1,2,"Marvin Bagley III","Duke","College/University",1628963,1610612758,"Sacramento Kings",1,"COL",NA,"SAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png"
2018,3,1,3,"Luka Doncic","Real Madrid Baloncesto","Other Team/Club",1629029,1610612737,"Atlanta Hawks",1,"PRO","Spain","ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png"
2018,4,1,4,"Jaren Jackson Jr.","Michigan State","College/University",1628991,1610612763,"Memphis Grizzlies",1,"COL",NA,"MEM","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628991.png"
2018,5,1,5,"Trae Young","Oklahoma","College/University",1629027,1610612742,"Dallas Mavericks",1,"COL",NA,"DAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png"
2018,6,1,6,"Mo Bamba","Texas","College/University",1628964,1610612753,"Orlando Magic",1,"COL",NA,"ORL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png"
2018,7,1,7,"Wendell Carter Jr.","Duke","College/University",1628976,1610612741,"Chicago Bulls",1,"COL",NA,"CHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png"
2018,8,1,8,"Collin Sexton","Alabama","College/University",1629012,1610612739,"Cleveland Cavaliers",1,"COL",NA,"CLE","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629012.png"
